log,max_bonddim,status,step,phase,seconds,krylov_nobs,krylov_min,krylov_max,krylov_mean
H77_T4_m16.log,16,completed,7,normal,107.485283,194,15,17,15.371134020618557
H77_T4_m16.log,16,completed,8,normal,107.539769,194,15,17,15.195876288659793
H77_T4_m16.log,16,completed,9,normal,105.845952,194,13,17,15.030927835051546
H77_T4_m16.log,16,completed,10,normal,105.664374,194,13,15,14.958762886597938
H77_T4_m16.log,16,completed,11,normal,105.300952,194,13,15,14.938144329896907
H77_T4_m16.log,16,completed,12,normal,106.535589,194,13,15,14.927835051546392
H77_T4_m16.log,16,completed,13,normal,104.866540,194,13,15,14.938144329896907
H77_T4_m16.log,16,completed,14,normal,105.697969,194,13,15,14.917525773195877
H77_T4_m16.log,16,completed,15,normal,105.129909,194,13,15,14.907216494845361
H77_T4_m16.log,16,completed,16,normal,106.185372,194,13,15,14.896907216494846
H77_T4_m16.log,16,completed,17,normal,105.186280,194,13,15,14.835051546391753
H77_T4_m16.log,16,completed,18,normal,106.523111,194,13,15,14.70103092783505
H77_T4_m16.log,16,completed,19,normal,105.361148,194,13,15,14.65979381443299
H77_T4_m16.log,16,completed,20,normal,105.882061,194,13,15,14.525773195876289
H77_T4_m16.log,16,completed,21,normal,105.065812,194,13,15,14.443298969072165
H77_T4_m16.log,16,completed,22,normal,105.587468,194,13,15,14.329896907216495
H77_T4_m16.log,16,completed,23,normal,105.039503,194,13,15,14.206185567010309
H77_T4_m16.log,16,completed,24,normal,105.138817,194,13,15,14.041237113402062
H77_T4_m16.log,16,completed,25,normal,104.834119,194,13,15,13.917525773195877
H77_T4_m16.log,16,completed,26,normal,105.690468,194,13,15,13.845360824742269
H77_T4_m16.log,16,completed,27,normal,103.935456,194,13,15,13.77319587628866
H77_T4_m16.log,16,completed,28,normal,104.458351,194,13,15,13.731958762886597
H77_T4_m16.log,16,completed,29,normal,104.048172,194,13,15,13.690721649484535
H77_T4_m16.log,16,completed,30,normal,104.521655,194,13,15,13.65979381443299
H77_T4_m16.log,16,completed,31,normal,103.041191,194,13,15,13.597938144329897
H77_T4_m16.log,16,completed,32,normal,103.800744,194,13,15,13.56701030927835
H77_T4_m16.log,16,completed,33,normal,104.274780,194,13,15,13.556701030927835
H77_T4_m16.log,16,completed,34,normal,105.167764,194,13,15,13.556701030927835
H77_T4_m16.log,16,completed,35,normal,103.852868,194,13,15,13.54639175257732
H77_T4_m16.log,16,completed,36,normal,104.161343,194,13,15,13.536082474226804
H77_T4_m16.log,16,completed,37,normal,104.350304,194,11,15,13.515463917525773
H77_T4_m16.log,16,completed,38,normal,104.746787,194,11,15,13.515463917525773
H77_T4_m16.log,16,completed,39,normal,104.302877,194,11,15,13.515463917525773
H77_T4_m16.log,16,completed,40,normal,104.881249,194,11,15,13.484536082474227
H77_T4_m16.log,16,completed,41,normal,104.254984,194,11,15,13.474226804123711
H77_T4_m16.log,16,completed,42,normal,104.440941,194,11,15,13.474226804123711
H77_T4_m16.log,16,completed,43,normal,104.014435,194,11,15,13.474226804123711
H77_T4_m16.log,16,completed,44,normal,104.970388,194,11,15,13.474226804123711
H77_T4_m16.log,16,completed,45,normal,104.013510,194,11,15,13.474226804123711
H77_T4_m16.log,16,completed,46,normal,103.682636,194,11,15,13.474226804123711
H77_T4_m16.log,16,completed,47,normal,103.970217,194,11,15,13.45360824742268
H77_T4_m16.log,16,completed,48,normal,103.367235,194,11,15,13.422680412371134
H77_T4_m16.log,16,completed,49,normal,103.196966,194,11,15,13.422680412371134
H77_T4_m16.log,16,completed,50,normal,103.806146,194,11,15,13.422680412371134
H77_T4_m16.log,16,completed,51,normal,103.404046,194,11,15,13.422680412371134
H77_T4_m16.log,16,completed,52,normal,103.952068,194,11,15,13.422680412371134
H77_T4_m16.log,16,completed,53,normal,103.558447,194,11,15,13.422680412371134
H77_T4_m16.log,16,completed,54,normal,104.434640,194,11,15,13.422680412371134
H77_T4_m16.log,16,completed,55,normal,104.122923,194,11,15,13.422680412371134
H77_T4_m16.log,16,completed,56,normal,104.721320,194,11,15,13.412371134020619
H77_T4_m16.log,16,completed,57,normal,104.638194,194,11,15,13.391752577319588
H77_T4_m16.log,16,completed,58,normal,103.930390,194,11,15,13.381443298969073
H77_T4_m16.log,16,completed,59,normal,104.275211,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,60,normal,104.557371,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,61,normal,103.666303,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,62,normal,103.718780,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,63,normal,102.800975,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,64,normal,104.076017,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,65,normal,104.390943,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,66,normal,103.780631,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,67,normal,102.789226,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,68,normal,103.728124,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,69,normal,104.079683,194,11,15,13.360824742268042
H77_T4_m16.log,16,completed,70,normal,103.240622,194,11,15,13.350515463917526
H77_T4_m16.log,16,completed,71,normal,102.884836,194,11,15,13.350515463917526
H77_T4_m16.log,16,completed,72,normal,103.073452,194,11,15,13.350515463917526
H77_T4_m16.log,16,completed,73,normal,103.483483,194,11,15,13.350515463917526
H77_T4_m16.log,16,completed,74,normal,103.476732,194,11,15,13.34020618556701
H77_T4_m16.log,16,completed,75,normal,102.720931,194,11,15,13.34020618556701
H77_T4_m16.log,16,completed,76,normal,103.725394,194,11,15,13.34020618556701
H77_T4_m16.log,16,completed,77,normal,102.916220,194,11,15,13.34020618556701
H77_T4_m16.log,16,completed,78,normal,102.979104,194,11,15,13.34020618556701
H77_T4_m16.log,16,completed,79,normal,103.235956,194,11,15,13.34020618556701
H77_T4_m16.log,16,completed,80,normal,103.639223,194,11,15,13.34020618556701
H77_T4_m16.log,16,completed,81,normal,103.393515,194,11,15,13.34020618556701
H77_T4_m16.log,16,completed,82,normal,103.306481,194,11,15,13.31958762886598
H77_T4_m16.log,16,completed,83,normal,102.958754,194,11,15,13.309278350515465
H77_T4_m16.log,16,completed,84,normal,103.452287,194,11,15,13.29896907216495
H77_T4_m16.log,16,completed,85,normal,103.314555,194,11,15,13.268041237113403
H77_T4_m16.log,16,completed,86,normal,104.058346,194,11,15,13.257731958762887
H77_T4_m16.log,16,completed,87,normal,104.256680,194,11,15,13.237113402061855
H77_T4_m16.log,16,completed,88,normal,104.289729,194,11,15,13.22680412371134
H77_T4_m16.log,16,completed,89,normal,103.740374,194,11,15,13.216494845360824
H77_T4_m16.log,16,completed,90,normal,103.098394,194,11,15,13.206185567010309
H77_T4_m16.log,16,completed,91,normal,102.913993,194,11,15,13.206185567010309
H77_T4_m16.log,16,completed,92,normal,103.456880,194,11,15,13.185567010309278
H77_T4_m16.log,16,completed,93,normal,104.005571,194,11,15,13.175257731958762
H77_T4_m16.log,16,completed,94,normal,104.311447,194,11,15,13.144329896907216
H77_T4_m16.log,16,completed,95,normal,102.626162,194,11,15,13.144329896907216
H77_T4_m16.log,16,completed,96,normal,102.847247,194,11,15,13.154639175257731
