node_index	dof_str	entropy_M256_tindex200
216	((11, 6),)	0.1154771475442368
217	((11, 7),)	0.1172703480029106
218	('OT 12',)	0.3319428019068026
219	('LE12', 'CS12')	0.1113278163648125
220	(('OT 12 vib', 0),)	0.2396886749811889
221	(('OT 12 vib', 1),)	0.08962702556689342
222	(('OT 12 vib', 2),)	6.423095535405102e-05
223	((12, 0),)	6.031091681960937e-05
224	((12, 1),)	4.03738978908551e-06
225	(('OT 12 vib', 3),)	0.08958065659848914
226	((12, 2),)	0.05902522731783309
227	((12, 3),)	0.03741286410672228
228	(('OT 12 vib', 4),)	0.1577536932750363
229	(('OT 12 vib', 5),)	0.05990936588646063
230	((12, 4),)	0.04421254459875655
231	((12, 5),)	0.01643654862779299
232	(('OT 12 vib', 6),)	0.1009928852555259
233	((12, 6),)	0.05611520632171332
234	((12, 7),)	0.04621337046289338
235	(('F', 0),)	1.43202123411201
236	(('F', 1),)	0.666207208036835
237	(('F', 2),)	0.4280575943150192
238	('F0',)	0.2039290756761764
239	('F1',)	0.2400839553077849
240	(('F', 3),)	0.3014036882463438
241	('F2',)	0.2083869155538991
242	('F3',)	0.09714342732735047
243	(('F', 4),)	0.8823835722139466
244	(('F', 5),)	0.3854066646483414
245	('F4',)	0.2777062021980672
246	('F5',)	0.114456836202606
247	(('F', 6),)	0.5663977825436075
248	('F6',)	0.40599212512199
249	('F7',)	0.2176761766044162
